part_id,ftype,role,cx,cy,cz,nx,ny,nz,area,bbox_dx,bbox_dy,bbox_dz,dist_load,nlx,nly,nlz,dist_fixed,nfx,nfy,nfz,global_size_initial,global_size_final,local_size,refine_needed,converged,load_face,load_direction,load_scale,maxsize,thickness,load_id
1,CIRC_HOLE,free,1.5113,0.0,10.0838,1.0,0.0,0.0,45.579734,3.022599935531616,4.799999713897705,4.800000190734863,16.216442965089477,0.0,0,-1,1.5649883865383782,-1,0,1.2421417534208868e-16,3.775,2.4160000000000004,1.0192500000000002,0,1,bend_bottom,-1,medium,25.39999961853028,3.02,2
1,CIRC_HOLE,free,1.5113,0.0,10.0838,1.0,0.0,0.0,45.579734,3.022599935531616,4.799999713897705,4.800000190734863,16.216442965089477,0.0,0,-1,1.5649883865383782,-1,0,1.2421417534208868e-16,3.775,2.4160000000000004,1.0192500000000002,0,1,bend_bottom,-1,medium,25.39999961853028,3.02,2
1,FILLET,free,1.5113,0.0,17.094444,-1.0,0.0,0.0,42.358867,3.022599935531616,12.699999809265137,2.539999961853028,21.29577459659864,0.0,0,-1,6.774958782275802,-1,0,1.2421417534208868e-16,3.775,2.4160000000000004,1.0192500000000002,0,1,bend_bottom,-1,medium,25.39999961853028,3.02,2
1,FILLET,free,1.5113,0.0,17.094444,-1.0,0.0,0.0,42.358867,3.022599935531616,12.699999809265137,2.539999961853028,21.29577459659864,0.0,0,-1,6.774958782275802,-1,0,1.2421417534208868e-16,3.775,2.4160000000000004,1.0192500000000002,0,1,bend_bottom,-1,medium,25.39999961853028,3.02,2
1,FILLET,free,1.098353,0.0,1.098353,0.0,-1.0,0.0,60.29819,3.022599935531616,12.699999809265137,3.022599935531616,13.158866149384528,0.0,0,-1,9.455853709952263,-1,0,1.2421417534208868e-16,3.775,2.4160000000000004,1.0192500000000002,1,1,bend_bottom,-1,medium,25.39999961853028,3.02,2
1,FILLET,free,24.536644,0.0,1.5113,0.0,0.0,-1.0,42.358867,2.540000915527344,12.699999809265137,3.022599935531616,10.4353608662248,0.0,0,-1,26.12790737875377,-1,0,1.2421417534208868e-16,3.775,2.4160000000000004,1.0192500000000002,0,1,bend_bottom,-1,medium,25.39999961853028,3.02,2
1,FACE,free,14.211299777030945,0.0,3.022599935531616,0.0,0.0,-1.0,256.02268129587173,22.377399682998657,12.699999809265137,0.0,3.0225999355316246,0.0,0,-1,16.053849758717938,-1,0,1.2421417534208868e-16,3.775,2.4160000000000004,1.0192500000000002,0,1,bend_bottom,-1,medium,25.39999961853028,3.02,2
1,FACE,load,14.211299777030945,0.0,0.0,0.0,0.0,-1.0,256.02268129587173,22.377399682998657,12.699999809265137,0.0,2.2296905477503523e-07,0.0,0,-1,17.663672817187248,-1,0,1.2421417534208868e-16,3.775,2.4160000000000004,1.0192500000000002,0,1,bend_bottom,-1,medium,25.39999961853028,3.02,2
1,FACE,fixed,7.698297586998927e-16,0.0,10.49019992351532,-1.0,0.0,1.2421417534208868e-16,161.5067442059517,1.5396595173997854e-15,12.699999809265137,14.935199975967407,17.663672951153753,0.0,0,-1,7.64846781464712e-08,-1,0,1.2421417534208868e-16,3.775,2.4160000000000004,1.0192500000000002,1,1,bend_bottom,-1,medium,25.39999961853028,3.02,2
1,FACE,free,3.022599935531616,0.0,10.49019992351532,-1.0,0.0,1.2421417534208868e-16,161.5067442059517,0.0,12.699999809265137,14.935199975967407,15.33725215180202,0.0,0,-1,3.022599935531616,-1,0,1.2421417534208868e-16,3.775,2.4160000000000004,1.0192500000000002,0,1,bend_bottom,-1,medium,25.39999961853028,3.02,2
1,FACE,free,11.429999351501465,6.349999904632568,7.708899974822998,0.0,-1.0,0.0,104.59020992182197,22.85999870300293,0.0,15.417799949645996,10.367510352442288,0.0,0,-1,13.36798465716531,-1,0,1.2421417534208868e-16,3.775,2.4160000000000004,1.0192500000000002,0,1,bend_bottom,-1,medium,25.39999961853028,3.02,2
1,FACE,free,11.429999351501465,-6.349999905,7.708899974822998,0.0,-1.0,0.0,104.59020992182197,22.85999870300293,0.0,15.417799949645996,10.367510352442288,0.0,0,-1,13.36798465716531,-1,0,1.2421417534208868e-16,3.775,2.4160000000000004,1.0192500000000002,0,1,bend_bottom,-1,medium,25.39999961853028,3.02,2
1,CIRC_HOLE,free,16.5354,0.0,1.5113,0.0,0.0,1.0,45.579734,4.800000190734863,4.799999713897705,3.022599935531616,2.77226775402377,0.0,0,-1,18.815953294212864,-1,0,1.2421417534208868e-16,3.775,2.4160000000000004,1.0192500000000002,0,1,bend_bottom,-1,high,25.39999961853028,3.02,3
1,CIRC_HOLE,free,16.5354,0.0,1.5113,0.0,0.0,1.0,45.579734,4.800000190734863,4.799999713897705,3.022599935531616,2.77226775402377,0.0,0,-1,18.815953294212864,-1,0,1.2421417534208868e-16,3.775,2.4160000000000004,1.0192500000000002,0,1,bend_bottom,-1,high,25.39999961853028,3.02,3
1,CIRC_HOLE,free,1.5113,0.0,10.0838,1.0,0.0,0.0,45.579734,3.022599935531616,4.799999713897705,4.800000190734863,16.216442965089477,0.0,0,-1,1.5649883865383782,-1,0,1.2421417534208868e-16,3.775,2.4160000000000004,1.0192500000000002,0,1,bend_bottom,-1,high,25.39999961853028,3.02,3
1,CIRC_HOLE,free,1.5113,0.0,10.0838,1.0,0.0,0.0,45.579734,3.022599935531616,4.799999713897705,4.800000190734863,16.216442965089477,0.0,0,-1,1.5649883865383782,-1,0,1.2421417534208868e-16,3.775,2.4160000000000004,1.0192500000000002,0,1,bend_bottom,-1,high,25.39999961853028,3.02,3
1,FILLET,free,1.5113,0.0,17.094444,-1.0,0.0,0.0,42.358867,3.022599935531616,12.699999809265137,2.539999961853028,21.29577459659864,0.0,0,-1,6.774958782275802,-1,0,1.2421417534208868e-16,3.775,2.4160000000000004,1.0192500000000002,0,1,bend_bottom,-1,high,25.39999961853028,3.02,3
1,FILLET,free,1.5113,0.0,17.094444,-1.0,0.0,0.0,42.358867,3.022599935531616,12.699999809265137,2.539999961853028,21.29577459659864,0.0,0,-1,6.774958782275802,-1,0,1.2421417534208868e-16,3.775,2.4160000000000004,1.0192500000000002,0,1,bend_bottom,-1,high,25.39999961853028,3.02,3
1,FILLET,free,1.098353,0.0,1.098353,0.0,-1.0,0.0,60.29819,3.022599935531616,12.699999809265137,3.022599935531616,13.158866149384528,0.0,0,-1,9.455853709952263,-1,0,1.2421417534208868e-16,3.775,2.4160000000000004,1.0192500000000002,1,1,bend_bottom,-1,high,25.39999961853028,3.02,3
1,FILLET,free,24.536644,0.0,1.5113,0.0,0.0,-1.0,42.358867,2.540000915527344,12.699999809265137,3.022599935531616,10.4353608662248,0.0,0,-1,26.12790737875377,-1,0,1.2421417534208868e-16,3.775,2.4160000000000004,1.0192500000000002,0,1,bend_bottom,-1,high,25.39999961853028,3.02,3
1,FACE,free,14.211299777030945,0.0,3.022599935531616,0.0,0.0,-1.0,256.02268129587173,22.377399682998657,12.699999809265137,0.0,3.0225999355316246,0.0,0,-1,16.053849758717938,-1,0,1.2421417534208868e-16,3.775,2.4160000000000004,1.0192500000000002,0,1,bend_bottom,-1,high,25.39999961853028,3.02,3
1,FACE,load,14.211299777030945,0.0,0.0,0.0,0.0,-1.0,256.02268129587173,22.377399682998657,12.699999809265137,0.0,2.2296905477503523e-07,0.0,0,-1,17.663672817187248,-1,0,1.2421417534208868e-16,3.775,2.4160000000000004,1.0192500000000002,0,1,bend_bottom,-1,high,25.39999961853028,3.02,3
1,FACE,fixed,7.698297586998927e-16,0.0,10.49019992351532,-1.0,0.0,1.2421417534208868e-16,161.5067442059517,1.5396595173997854e-15,12.699999809265137,14.935199975967407,17.663672951153753,0.0,0,-1,7.64846781464712e-08,-1,0,1.2421417534208868e-16,3.775,2.4160000000000004,1.0192500000000002,1,1,bend_bottom,-1,high,25.39999961853028,3.02,3
1,FACE,free,3.022599935531616,0.0,10.49019992351532,-1.0,0.0,1.2421417534208868e-16,161.5067442059517,0.0,12.699999809265137,14.935199975967407,15.33725215180202,0.0,0,-1,3.022599935531616,-1,0,1.2421417534208868e-16,3.775,2.4160000000000004,1.0192500000000002,0,1,bend_bottom,-1,high,25.39999961853028,3.02,3
1,FACE,free,11.429999351501465,6.349999904632568,7.708899974822998,0.0,-1.0,0.0,104.59020992182197,22.85999870300293,0.0,15.417799949645996,10.367510352442288,0.0,0,-1,13.36798465716531,-1,0,1.2421417534208868e-16,3.775,2.4160000000000004,1.0192500000000002,0,1,bend_bottom,-1,high,25.39999961853028,3.02,3
1,FACE,free,11.429999351501465,-6.349999905,7.708899974822998,0.0,-1.0,0.0,104.59020992182197,22.85999870300293,0.0,15.417799949645996,10.367510352442288,0.0,0,-1,13.36798465716531,-1,0,1.2421417534208868e-16,3.775,2.4160000000000004,1.0192500000000002,0,1,bend_bottom,-1,high,25.39999961853028,3.02,3
1,CIRC_HOLE,free,16.5354,0.0,1.5113,0.0,0.0,1.0,45.579734,4.800000190734863,4.799999713897705,3.022599935531616,10.237082344105668,0.0,-1,0,10.237082344105666,0,-1,0.0,3.775,2.4160000000000004,0.7644375000000001,1,1,tension,-1,low,25.39999961853028,3.02,4
1,CIRC_HOLE,free,16.5354,0.0,1.5113,0.0,0.0,1.0,45.579734,4.800000190734863,4.799999713897705,3.022599935531616,10.237082344105668,0.0,-1,0,10.237082344105666,0,-1,0.0,3.775,2.4160000000000004,0.7644375000000001,1,1,tension,-1,low,25.39999961853028,3.02,4
1,CIRC_HOLE,free,1.5113,0.0,10.0838,1.0,0.0,0.0,45.579734,3.022599935531616,4.799999713897705,4.800000190734863,12.014293974262488,0.0,-1,0,12.014293974262486,0,-1,0.0,3.775,2.4160000000000004,0.7644375000000001,0,1,tension,-1,low,25.39999961853028,3.02,4
1,CIRC_HOLE,free,1.5113,0.0,10.0838,1.0,0.0,0.0,45.579734,3.022599935531616,4.799999713897705,4.800000190734863,12.014293974262488,0.0,-1,0,12.014293974262486,0,-1,0.0,3.775,2.4160000000000004,0.7644375000000001,0,1,tension,-1,low,25.39999961853028,3.02,4
1,FILLET,free,1.5113,0.0,17.094444,-1.0,0.0,0.0,42.358867,3.022599935531616,12.699999809265137,2.539999961853028,15.059599791028177,0.0,-1,0,15.059599791028177,0,-1,0.0,3.775,2.4160000000000004,0.7644375000000001,0,1,tension,-1,low,25.39999961853028,3.02,4
1,FILLET,free,1.5113,0.0,17.094444,-1.0,0.0,0.0,42.358867,3.022599935531616,12.699999809265137,2.539999961853028,15.059599791028177,0.0,-1,0,15.059599791028177,0,-1,0.0,3.775,2.4160000000000004,0.7644375000000001,0,1,tension,-1,low,25.39999961853028,3.02,4
1,FILLET,free,1.098353,0.0,1.098353,0.0,-1.0,0.0,60.29819,3.022599935531616,12.699999809265137,3.022599935531616,13.81176170413528,0.0,-1,0,13.81176170413528,0,-1,0.0,3.775,2.4160000000000004,0.7644375000000001,0,1,tension,-1,low,25.39999961853028,3.02,4
1,FILLET,free,24.536644,0.0,1.5113,0.0,0.0,-1.0,42.358867,2.540000915527344,12.699999809265137,3.022599935531616,15.827724495414245,0.0,-1,0,15.82772449541424,0,-1,0.0,3.775,2.4160000000000004,0.7644375000000001,0,1,tension,-1,low,25.39999961853028,3.02,4
1,FACE,free,14.211299777030945,0.0,3.022599935531616,0.0,0.0,-1.0,256.02268129587173,22.377399682998657,12.699999809265137,0.0,8.367767727652863,0.0,-1,0,8.367767727652861,0,-1,0.0,3.775,2.4160000000000004,0.7644375000000001,1,1,tension,-1,low,25.39999961853028,3.02,4
1,FACE,free,14.211299777030945,0.0,0.0,0.0,0.0,-1.0,256.02268129587173,22.377399682998657,12.699999809265137,0.0,10.36751019578531,0.0,-1,0,10.367510195785307,0,-1,0.0,3.775,2.4160000000000004,0.7644375000000001,0,1,tension,-1,low,25.39999961853028,3.02,4
1,FACE,free,7.698297586998927e-16,0.0,10.49019992351532,-1.0,0.0,1.2421417534208868e-16,161.5067442059517,1.5396595173997854e-15,12.699999809265137,14.935199975967407,13.367985235799232,0.0,-1,0,13.367985235799232,0,-1,0.0,3.775,2.4160000000000004,0.7644375000000001,0,1,tension,-1,low,25.39999961853028,3.02,4
1,FACE,free,3.022599935531616,0.0,10.49019992351532,-1.0,0.0,1.2421417534208868e-16,161.5067442059517,0.0,12.699999809265137,14.935199975967407,10.896903464221808,0.0,-1,0,10.896903464221808,0,-1,0.0,3.775,2.4160000000000004,0.7644375000000001,0,1,tension,-1,low,25.39999961853028,3.02,4
1,FACE,fixed,11.429999351501465,6.349999904632568,7.708899974822998,0.0,-1.0,0.0,104.59020992182197,22.85999870300293,0.0,15.417799949645996,12.699999904632584,0.0,-1,0,6.559566853577293e-07,0,-1,0.0,3.775,2.4160000000000004,0.7644375000000001,0,1,tension,-1,low,25.39999961853028,3.02,4
1,FACE,load,11.429999351501465,-6.349999905,7.708899974822998,0.0,-1.0,0.0,104.59020992182197,22.85999870300293,0.0,15.417799949645996,6.559566856500782e-07,0.0,-1,0,12.699999904632582,0,-1,0.0,3.775,2.4160000000000004,0.7644375000000001,0,1,tension,-1,low,25.39999961853028,3.02,4
1,CIRC_HOLE,free,16.5354,0.0,1.5113,0.0,0.0,1.0,45.579734,4.800000190734863,4.799999713897705,3.022599935531616,10.237082344105668,0.0,-1,0,10.237082344105666,0,-1,0.0,3.775,2.4160000000000004,0.7644375000000001,1,1,tension,-1,medium,25.39999961853028,3.02,5
1,CIRC_HOLE,free,16.5354,0.0,1.5113,0.0,0.0,1.0,45.579734,4.800000190734863,4.799999713897705,3.022599935531616,10.237082344105668,0.0,-1,0,10.237082344105666,0,-1,0.0,3.775,2.4160000000000004,0.7644375000000001,1,1,tension,-1,medium,25.39999961853028,3.02,5
1,CIRC_HOLE,free,1.5113,0.0,10.0838,1.0,0.0,0.0,45.579734,3.022599935531616,4.799999713897705,4.800000190734863,12.014293974262488,0.0,-1,0,12.014293974262486,0,-1,0.0,3.775,2.4160000000000004,0.7644375000000001,0,1,tension,-1,medium,25.39999961853028,3.02,5
1,CIRC_HOLE,free,1.5113,0.0,10.0838,1.0,0.0,0.0,45.579734,3.022599935531616,4.799999713897705,4.800000190734863,12.014293974262488,0.0,-1,0,12.014293974262486,0,-1,0.0,3.775,2.4160000000000004,0.7644375000000001,0,1,tension,-1,medium,25.39999961853028,3.02,5
1,FILLET,free,1.5113,0.0,17.094444,-1.0,0.0,0.0,42.358867,3.022599935531616,12.699999809265137,2.539999961853028,15.059599791028177,0.0,-1,0,15.059599791028177,0,-1,0.0,3.775,2.4160000000000004,0.7644375000000001,0,1,tension,-1,medium,25.39999961853028,3.02,5
1,FILLET,free,1.5113,0.0,17.094444,-1.0,0.0,0.0,42.358867,3.022599935531616,12.699999809265137,2.539999961853028,15.059599791028177,0.0,-1,0,15.059599791028177,0,-1,0.0,3.775,2.4160000000000004,0.7644375000000001,0,1,tension,-1,medium,25.39999961853028,3.02,5
1,FILLET,free,1.098353,0.0,1.098353,0.0,-1.0,0.0,60.29819,3.022599935531616,12.699999809265137,3.022599935531616,13.81176170413528,0.0,-1,0,13.81176170413528,0,-1,0.0,3.775,2.4160000000000004,0.7644375000000001,0,1,tension,-1,medium,25.39999961853028,3.02,5
1,FILLET,free,24.536644,0.0,1.5113,0.0,0.0,-1.0,42.358867,2.540000915527344,12.699999809265137,3.022599935531616,15.827724495414245,0.0,-1,0,15.82772449541424,0,-1,0.0,3.775,2.4160000000000004,0.7644375000000001,0,1,tension,-1,medium,25.39999961853028,3.02,5
1,FACE,free,14.211299777030945,0.0,3.022599935531616,0.0,0.0,-1.0,256.02268129587173,22.377399682998657,12.699999809265137,0.0,8.367767727652863,0.0,-1,0,8.367767727652861,0,-1,0.0,3.775,2.4160000000000004,0.7644375000000001,1,1,tension,-1,medium,25.39999961853028,3.02,5
1,FACE,free,14.211299777030945,0.0,0.0,0.0,0.0,-1.0,256.02268129587173,22.377399682998657,12.699999809265137,0.0,10.36751019578531,0.0,-1,0,10.367510195785307,0,-1,0.0,3.775,2.4160000000000004,0.7644375000000001,0,1,tension,-1,medium,25.39999961853028,3.02,5
